Date,Open,High,Low,Close,Adj Close,Volume
2018-10-30,93.839996,93.839996,93.839996,93.839996,88.563995,0
2018-10-31,94.860001,94.860001,94.860001,94.860001,89.526649,0
2018-11-01,95.860001,95.860001,95.860001,95.860001,90.470428,0
2018-11-02,95.269997,95.269997,95.269997,95.269997,89.913597,0
2018-11-05,95.800003,95.800003,95.800003,95.800003,90.413811,0
2018-11-06,96.410004,96.410004,96.410004,96.410004,90.989517,0
2018-11-07,98.459999,98.459999,98.459999,98.459999,92.924255,0
2018-11-08,98.260002,98.260002,98.260002,98.260002,92.735497,0
2018-11-09,97.370003,97.370003,97.370003,97.370003,91.895546,0
2018-11-12,95.459999,95.459999,95.459999,95.459999,90.092918,0
2018-11-13,95.320000,95.320000,95.320000,95.320000,89.960793,0
2018-11-14,94.620003,94.620003,94.620003,94.620003,89.300140,0
2018-11-15,95.660004,95.660004,95.660004,95.660004,90.281693,0
2018-11-16,95.879997,95.879997,95.879997,95.879997,90.489311,0
2018-11-19,94.279999,94.279999,94.279999,94.279999,88.979263,0
2018-11-20,92.580002,92.580002,92.580002,92.580002,87.374847,0
2018-11-21,92.870003,92.870003,92.870003,92.870003,87.648529,0
2018-11-23,92.260002,92.260002,92.260002,92.260002,87.072830,0
2018-11-26,93.709999,93.709999,93.709999,93.709999,88.441307,0
2018-11-27,94.010002,94.010002,94.010002,94.010002,88.724449,0
2018-11-28,96.180000,96.180000,96.180000,96.180000,90.772453,0
2018-11-29,95.989998,95.989998,95.989998,95.989998,90.593117,0
2018-11-30,96.790001,96.790001,96.790001,96.790001,91.348145,0
2018-12-03,97.849998,97.849998,97.849998,97.849998,92.348534,0
2018-12-04,94.690002,94.690002,94.690002,94.690002,89.366211,0
2018-12-06,94.580002,94.580002,94.580002,94.580002,89.262405,0
2018-12-07,92.389999,92.389999,92.389999,92.389999,87.195534,0
2018-12-10,92.550003,92.550003,92.550003,92.550003,87.346519,0
2018-12-11,92.519997,92.519997,92.519997,92.519997,87.318214,0
2018-12-12,93.019997,93.019997,93.019997,93.019997,87.790100,0
2018-12-13,93.019997,93.019997,93.019997,93.019997,87.790100,0
2018-12-14,90.379997,90.379997,90.379997,90.379997,86.108521,0
2018-12-17,88.510002,88.510002,88.510002,88.510002,84.326897,0
2018-12-18,88.519997,88.519997,88.519997,88.519997,84.336426,0
2018-12-19,87.169998,87.169998,87.169998,87.169998,83.050232,0
2018-12-20,85.800003,85.800003,85.800003,85.800003,81.744980,0
2018-12-21,84.029999,84.029999,84.029999,84.029999,80.058624,0
2018-12-24,81.760002,81.760002,81.760002,81.760002,77.895927,0
2018-12-26,85.809998,85.809998,85.809998,85.809998,81.754501,0
2018-12-27,86.559998,86.559998,86.559998,86.559998,82.469055,0
2018-12-28,86.360001,86.360001,86.360001,86.360001,82.379379,0
2018-12-31,87.099998,87.099998,87.099998,87.099998,83.085281,0
2019-01-02,87.209999,87.209999,87.209999,87.209999,83.190216,0
2019-01-03,85.070000,85.070000,85.070000,85.070000,81.148849,0
2019-01-04,87.989998,87.989998,87.989998,87.989998,83.934258,0
2019-01-07,88.610001,88.610001,88.610001,88.610001,84.525681,0
2019-01-08,89.470001,89.470001,89.470001,89.470001,85.346046,0
2019-01-09,89.870003,89.870003,89.870003,89.870003,85.727608,0
2019-01-10,90.269997,90.269997,90.269997,90.269997,86.109169,0
2019-01-11,90.260002,90.260002,90.260002,90.260002,86.099625,0
2019-01-14,89.800003,89.800003,89.800003,89.800003,85.660835,0
2019-01-15,90.760002,90.760002,90.760002,90.760002,86.576591,0
2019-01-16,90.959999,90.959999,90.959999,90.959999,86.767365,0
2019-01-17,91.660004,91.660004,91.660004,91.660004,87.435104,0
2019-01-18,92.879997,92.879997,92.879997,92.879997,88.598854,0
2019-01-22,91.559998,91.559998,91.559998,91.559998,87.339706,0
2019-01-23,91.769997,91.769997,91.769997,91.769997,87.540024,0
2019-01-24,91.889999,91.889999,91.889999,91.889999,87.654503,0
2019-01-25,92.680000,92.680000,92.680000,92.680000,88.408089,0
2019-01-28,91.949997,91.949997,91.949997,91.949997,87.711731,0
2019-01-29,91.820000,91.820000,91.820000,91.820000,87.587715,0
2019-01-30,93.260002,93.260002,93.260002,93.260002,88.961357,0
2019-01-31,94.080002,94.080002,94.080002,94.080002,89.743538,0
2019-02-01,94.180000,94.180000,94.180000,94.180000,89.838951,0
2019-02-04,94.809998,94.809998,94.809998,94.809998,90.439911,0
2019-02-05,95.260002,95.260002,95.260002,95.260002,90.869164,0
2019-02-06,95.059998,95.059998,95.059998,95.059998,90.678375,0
2019-02-07,94.180000,94.180000,94.180000,94.180000,89.838951,0
2019-02-08,94.279999,94.279999,94.279999,94.279999,89.934326,0
2019-02-11,94.349998,94.349998,94.349998,94.349998,90.001106,0
2019-02-12,95.570000,95.570000,95.570000,95.570000,91.164879,0
2019-02-13,95.870003,95.870003,95.870003,95.870003,91.451042,0
2019-02-14,95.650002,95.650002,95.650002,95.650002,91.241180,0
2019-02-15,96.690002,96.690002,96.690002,96.690002,92.233246,0
2019-02-19,96.849998,96.849998,96.849998,96.849998,92.385887,0
2019-02-20,97.040001,97.040001,97.040001,97.040001,92.567123,0
2019-02-21,96.699997,96.699997,96.699997,96.699997,92.242775,0
2019-02-22,97.320000,97.320000,97.320000,97.320000,92.834213,0
2019-02-25,97.459999,97.459999,97.459999,97.459999,92.967751,0
2019-02-26,97.379997,97.379997,97.379997,97.379997,92.891441,0
2019-02-27,97.339996,97.339996,97.339996,97.339996,92.853279,0
2019-02-28,97.099998,97.099998,97.099998,97.099998,92.624344,0
2019-03-01,97.769997,97.769997,97.769997,97.769997,93.263474,0
2019-03-04,97.400002,97.400002,97.400002,97.400002,92.910522,0
2019-03-05,97.290001,97.290001,97.290001,97.290001,92.805603,0
2019-03-06,96.660004,96.660004,96.660004,96.660004,92.204643,0
2019-03-07,95.889999,95.889999,95.889999,95.889999,91.470108,0
2019-03-08,95.699997,95.699997,95.699997,95.699997,91.288872,0
2019-03-11,97.099998,97.099998,97.099998,97.099998,92.624344,0
2019-03-12,97.389999,97.389999,97.389999,97.389999,92.900978,0
2019-03-13,98.080002,98.080002,98.080002,98.080002,93.559181,0
2019-03-14,98.029999,98.029999,98.029999,98.029999,93.511482,0
2019-03-15,98.519997,98.519997,98.519997,98.519997,93.978897,0
2019-03-18,98.879997,98.879997,98.879997,98.879997,94.322311,0
2019-03-19,98.879997,98.879997,98.879997,98.879997,94.322311,0
2019-03-20,98.589996,98.589996,98.589996,98.589996,94.045662,0
2019-03-21,99.669998,99.669998,99.669998,99.669998,95.075882,0
2019-03-22,97.790001,97.790001,97.790001,97.790001,93.282532,0
2019-03-25,97.709999,97.709999,97.709999,97.709999,93.206230,0
2019-03-26,98.410004,98.410004,98.410004,98.410004,93.873962,0
2019-03-27,97.959999,97.959999,97.959999,97.959999,93.444710,0
2019-03-28,98.320000,98.320000,98.320000,98.320000,93.788116,0
2019-03-29,98.989998,98.989998,98.989998,98.989998,94.427231,0
2019-04-01,100.139999,100.139999,100.139999,100.139999,95.524223,0
2019-04-02,100.139999,100.139999,100.139999,100.139999,95.524223,0
2019-04-03,100.360001,100.360001,100.360001,100.360001,95.734085,0
2019-04-04,100.589996,100.589996,100.589996,100.589996,95.953468,0
2019-04-05,100.480003,100.480003,100.480003,100.480003,96.398636,0
2019-04-08,100.589996,100.589996,100.589996,100.589996,96.504173,0
2019-04-09,100.010002,100.010002,100.010002,100.010002,95.947731,0
2019-04-10,100.370003,100.370003,100.370003,100.370003,96.293106,0
2019-04-11,100.370003,100.370003,100.370003,100.370003,96.293106,0
2019-04-12,101.040001,101.040001,101.040001,101.040001,96.935883,0
2019-04-15,100.980003,100.980003,100.980003,100.980003,96.878334,0
2019-04-16,101.040001,101.040001,101.040001,101.040001,96.935883,0
2019-04-17,100.820000,100.820000,100.820000,100.820000,96.724831,0
2019-04-18,100.980003,100.980003,100.980003,100.980003,96.878334,0
2019-04-22,101.080002,101.080002,101.080002,101.080002,96.974281,0
2019-04-23,101.980003,101.980003,101.980003,101.980003,97.837708,0
2019-04-24,101.760002,101.760002,101.760002,101.760002,97.626656,0
2019-04-25,101.720001,101.720001,101.720001,101.720001,97.588264,0
2019-04-26,102.199997,102.199997,102.199997,102.199997,98.048775,0
2019-04-29,102.309998,102.309998,102.309998,102.309998,98.154312,0
2019-04-30,102.410004,102.410004,102.410004,102.410004,98.250252,0
2019-05-01,101.650002,101.650002,101.650002,101.650002,97.521126,0
2019-05-02,101.430000,101.430000,101.430000,101.430000,97.310043,0
2019-05-03,102.419998,102.419998,102.419998,102.419998,98.259842,0
2019-05-06,101.970001,101.970001,101.970001,101.970001,97.828110,0
2019-05-07,100.290001,100.290001,100.290001,100.290001,96.216354,0
2019-05-08,100.129997,100.129997,100.129997,100.129997,96.062859,0
2019-05-09,99.860001,99.860001,99.860001,99.860001,95.803810,0
2019-05-10,100.269997,100.269997,100.269997,100.269997,96.197166,0
2019-05-13,97.849998,97.849998,97.849998,97.849998,93.875458,0
2019-05-14,98.650002,98.650002,98.650002,98.650002,94.642982,0
2019-05-15,99.250000,99.250000,99.250000,99.250000,95.218605,0
2019-05-16,100.160004,100.160004,100.160004,100.160004,96.091629,0
2019-05-17,99.580002,99.580002,99.580002,99.580002,95.535210,0
2019-05-20,98.910004,98.910004,98.910004,98.910004,94.892410,0
2019-05-21,99.750000,99.750000,99.750000,99.750000,95.698288,0
2019-05-22,99.470001,99.470001,99.470001,99.470001,95.429665,0
2019-05-23,98.300003,98.300003,98.300003,98.300003,94.307182,0
2019-05-24,98.449997,98.449997,98.449997,98.449997,94.451088,0
2019-05-28,97.620003,97.620003,97.620003,97.620003,93.654793,0
2019-05-29,96.949997,96.949997,96.949997,96.949997,93.012016,0
2019-05-30,97.169998,97.169998,97.169998,97.169998,93.223076,0
2019-05-31,95.900002,95.900002,95.900002,95.900002,92.004662,0
2019-06-03,95.639999,95.639999,95.639999,95.639999,91.755234,0
2019-06-04,97.690002,97.690002,97.690002,97.690002,93.721970,0
2019-06-05,98.500000,98.500000,98.500000,98.500000,94.499069,0
2019-06-06,99.139999,99.139999,99.139999,99.139999,95.113052,0
2019-06-07,100.190002,100.190002,100.190002,100.190002,96.120407,0
2019-06-10,100.650002,100.650002,100.650002,100.650002,96.561722,0
2019-06-11,100.620003,100.620003,100.620003,100.620003,96.532959,0
2019-06-12,100.419998,100.419998,100.419998,100.419998,96.341072,0
2019-06-13,100.860001,100.860001,100.860001,100.860001,96.763191,0
2019-06-14,100.709999,100.709999,100.709999,100.709999,96.619293,0
2019-06-17,100.809998,100.809998,100.809998,100.809998,96.715225,0
2019-06-18,101.790001,101.790001,101.790001,101.790001,97.655426,0
2019-06-19,102.089996,102.089996,102.089996,102.089996,97.943237,0
2019-06-20,103.070000,103.070000,103.070000,103.070000,98.883430,0
2019-06-21,102.949997,102.949997,102.949997,102.949997,98.768303,0
2019-06-24,102.769997,102.769997,102.769997,102.769997,98.595619,0
2019-06-25,101.790001,101.790001,101.790001,101.790001,97.655426,0
2019-06-26,101.669998,101.669998,101.669998,101.669998,97.540298,0
2019-06-27,102.070000,102.070000,102.070000,102.070000,97.924049,0
2019-06-28,102.660004,102.660004,102.660004,102.660004,98.490089,0
2019-07-01,103.449997,103.449997,103.449997,103.449997,99.247993,0
2019-07-02,103.760002,103.760002,103.760002,103.760002,99.545410,0
2019-07-03,104.580002,104.580002,104.580002,104.580002,100.332100,0
2019-07-05,103.919998,103.919998,103.919998,103.919998,100.158615,0
2019-07-08,103.419998,103.419998,103.419998,103.419998,99.676712,0
2019-07-09,103.580002,103.580002,103.580002,103.580002,99.830925,0
2019-07-10,104.050003,104.050003,104.050003,104.050003,100.283905,0
2019-07-11,104.290001,104.290001,104.290001,104.290001,100.515221,0
2019-07-12,104.779999,104.779999,104.779999,104.779999,100.987488,0
2019-07-15,104.800003,104.800003,104.800003,104.800003,101.006767,0
2019-07-16,104.440002,104.440002,104.440002,104.440002,100.659798,0
2019-07-17,103.760002,103.760002,103.760002,103.760002,100.004402,0
2019-07-18,104.139999,104.139999,104.139999,104.139999,100.370644,0
2019-07-19,103.500000,103.500000,103.500000,103.500000,99.753815,0
2019-07-22,103.800003,103.800003,103.800003,103.800003,100.042953,0
2019-07-23,104.510002,104.510002,104.510002,104.510002,100.727257,0
2019-07-24,105.010002,105.010002,105.010002,105.010002,101.209167,0
2019-07-25,104.449997,104.449997,104.449997,104.449997,100.669434,0
2019-07-26,105.230003,105.230003,105.230003,105.230003,101.421204,0
2019-07-29,105.059998,105.059998,105.059998,105.059998,101.257362,0
2019-07-30,104.800003,104.800003,104.800003,104.800003,101.006767,0
2019-07-31,103.660004,103.660004,103.660004,103.660004,99.908035,0
2019-08-01,102.739998,102.739998,102.739998,102.739998,99.021332,0
2019-08-02,102.000000,102.000000,102.000000,102.000000,98.308113,0
2019-08-05,98.959999,98.959999,98.959999,98.959999,95.378143,0
2019-08-06,100.260002,100.260002,100.260002,100.260002,96.631081,0
2019-08-07,100.339996,100.339996,100.339996,100.339996,96.708191,0
2019-08-08,102.250000,102.250000,102.250000,102.250000,98.549065,0
2019-08-09,101.589996,101.589996,101.589996,101.589996,97.912941,0
2019-08-12,100.389999,100.389999,100.389999,100.389999,96.756393,0
2019-08-13,101.879997,101.879997,101.879997,101.879997,98.192436,0
2019-08-14,98.919998,98.919998,98.919998,98.919998,95.339592,0
2019-08-15,99.190002,99.190002,99.190002,99.190002,95.599815,0
2019-08-16,100.629997,100.629997,100.629997,100.629997,96.987686,0
2019-08-19,101.860001,101.860001,101.860001,101.860001,98.173172,0
2019-08-20,101.059998,101.059998,101.059998,101.059998,97.402130,0
