Date,Close
2018-05-20,0.45
2018-05-21,0.45
2018-05-22,0.42
2018-05-23,0.37
2018-05-24,0.35
2018-05-25,0.36
2018-05-26,0.34
2018-05-27,0.36
2018-05-28,0.34
2018-05-29,0.32
2018-05-30,0.35
2018-05-31,0.34
2018-06-01,0.34
2018-06-02,0.35
2018-06-03,0.36
2018-06-04,0.36
2018-06-05,0.34
2018-06-06,0.33
2018-06-07,0.33
2018-06-08,0.3
2018-06-09,0.29
2018-06-10,0.29
2018-06-11,0.24
2018-06-12,0.26
2018-06-13,0.23
2018-06-14,0.22
2018-06-15,0.24
2018-06-16,0.22
2018-06-17,0.22
2018-06-18,0.21
2018-06-19,0.21
2018-06-20,0.22
2018-06-21,0.22
2018-06-22,0.21
2018-06-23,0.19
2018-06-24,0.19
2018-06-25,0.19
2018-06-26,0.18
2018-06-27,0.17
2018-06-28,0.17
2018-06-29,0.17
2018-06-30,0.18
2018-07-01,0.22
2018-07-02,0.22
2018-07-03,0.25
2018-07-04,0.24
2018-07-05,0.23
2018-07-06,0.22
2018-07-07,0.23
2018-07-08,0.25
2018-07-09,0.25
2018-07-10,0.23
2018-07-11,0.21
2018-07-12,0.21
2018-07-13,0.2
2018-07-14,0.2
2018-07-15,0.19
2018-07-16,0.2
2018-07-17,0.22
2018-07-18,0.25
2018-07-19,0.24
2018-07-20,0.23
2018-07-21,0.22
2018-07-22,0.22
2018-07-23,0.2
2018-07-24,0.2
2018-07-25,0.2
2018-07-26,0.24
2018-07-27,0.25
2018-07-28,0.27
2018-07-29,0.28
2018-07-30,0.33
2018-07-31,0.32
2018-08-01,0.29
2018-08-02,0.29
2018-08-03,0.31
2018-08-04,0.29
2018-08-05,0.26
2018-08-06,0.25
2018-08-07,0.24
2018-08-08,0.23
2018-08-09,0.23
2018-08-10,0.28
2018-08-11,0.27
2018-08-12,0.27
2018-08-13,0.28
2018-08-14,0.26
2018-08-15,0.27
2018-08-16,0.26
2018-08-17,0.27
2018-08-18,0.29
2018-08-19,0.27
2018-08-20,0.3
2018-08-21,0.29
2018-08-22,0.31
2018-08-23,0.31
2018-08-24,0.32
2018-08-25,0.34
2018-08-26,0.32
2018-08-27,0.33
2018-08-28,0.34
2018-08-29,0.34
2018-08-30,0.31
2018-08-31,0.3
2018-09-01,0.33
2018-09-02,0.34
2018-09-03,0.31
2018-09-04,0.3
2018-09-05,0.3
2018-09-06,0.27
2018-09-07,0.27
2018-09-08,0.26
2018-09-09,0.24
2018-09-10,0.24
2018-09-11,0.25
2018-09-12,0.26
2018-09-13,0.25
2018-09-14,0.27
2018-09-15,0.27
2018-09-16,0.27
2018-09-17,0.27
2018-09-18,0.27
2018-09-19,0.29
2018-09-20,0.33
2018-09-21,0.35
2018-09-22,0.35
2018-09-23,0.34
2018-09-24,0.34
2018-09-25,0.33
2018-09-26,0.33
2018-09-27,0.35
2018-09-28,0.35
2018-09-29,0.33
2018-09-30,0.33
2018-10-01,0.33
2018-10-02,0.33
2018-10-03,0.32
2018-10-04,0.31
2018-10-05,0.32
2018-10-06,0.36
2018-10-07,0.34
2018-10-08,0.34
2018-10-09,0.34
2018-10-10,0.34
2018-10-11,0.35
2018-10-12,0.31
2018-10-13,0.31
2018-10-14,0.32
2018-10-15,0.33
2018-10-16,0.34
2018-10-17,0.36
2018-10-18,0.38
2018-10-19,0.38
2018-10-20,0.36
2018-10-21,0.37
2018-10-22,0.37
2018-10-23,0.39
2018-10-24,0.44
2018-10-25,0.41
2018-10-26,0.44
2018-10-27,0.43
2018-10-28,0.44
2018-10-29,0.43
2018-10-30,0.41
2018-10-31,0.45
2018-11-01,0.51
2018-11-02,0.52
2018-11-03,0.5
2018-11-04,0.54
2018-11-05,0.51
2018-11-06,0.48
2018-11-07,0.49
