,,LINK
,close,daily_return
time,,
2018-12-20,0.29,0.1153846154
2018-12-21,0.33,0.1379310345
2018-12-22,0.29,-0.1212121212
2018-12-23,0.3,0.03448275862
2018-12-24,0.31,0.03333333333
2018-12-25,0.31,0
2018-12-26,0.32,0.03225806452
2018-12-27,0.3,-0.0625
2018-12-28,0.27,-0.1
2018-12-29,0.29,0.07407407407
2018-12-30,0.3,0.03448275862
2018-12-31,0.3,0
2019-01-01,0.3,0
2019-01-02,0.31,0.03333333333
2019-01-03,0.33,0.06451612903
2019-01-04,0.36,0.09090909091
2019-01-05,0.43,0.1944444444
2019-01-06,0.39,-0.09302325581
2019-01-07,0.4,0.02564102564
2019-01-08,0.37,-0.075
2019-01-09,0.41,0.1081081081
2019-01-10,0.39,-0.0487804878
2019-01-11,0.35,-0.1025641026
2019-01-12,0.43,0.2285714286
2019-01-13,0.4,-0.06976744186
2019-01-14,0.44,0.1
2019-01-15,0.48,0.09090909091
2019-01-16,0.51,0.0625
2019-01-17,0.49,-0.03921568627
2019-01-18,0.48,-0.02040816327
2019-01-19,0.49,0.02083333333
2019-01-20,0.48,-0.02040816327
2019-01-21,0.48,0
2019-01-22,0.49,0.02083333333
2019-01-23,0.53,0.08163265306
2019-01-24,0.5,-0.05660377358
2019-01-25,0.49,-0.02
2019-01-26,0.47,-0.04081632653
2019-01-27,0.47,0
2019-01-28,0.43,-0.08510638298
2019-01-29,0.41,-0.04651162791
2019-01-30,0.45,0.09756097561
2019-01-31,0.42,-0.06666666667
2019-02-01,0.39,-0.07142857143
2019-02-02,0.42,0.07692307692
2019-02-03,0.41,-0.02380952381
2019-02-04,0.4,-0.0243902439
2019-02-05,0.4,0
2019-02-06,0.42,0.05
2019-02-07,0.4,-0.04761904762
2019-02-08,0.4,0
2019-02-09,0.43,0.075
2019-02-10,0.46,0.06976744186
2019-02-11,0.45,-0.02173913043
2019-02-12,0.43,-0.04444444444
2019-02-13,0.43,0
2019-02-14,0.45,0.04651162791
2019-02-15,0.43,-0.04444444444
2019-02-16,0.44,0.02325581395
2019-02-17,0.44,0
2019-02-18,0.46,0.04545454545
2019-02-19,0.47,0.02173913043
2019-02-20,0.46,-0.02127659574
2019-02-21,0.46,0
2019-02-22,0.44,-0.04347826087
2019-02-23,0.45,0.02272727273
2019-02-24,0.46,0.02222222222
2019-02-25,0.41,-0.1086956522
2019-02-26,0.46,0.1219512195
2019-02-27,0.43,-0.0652173913
2019-02-28,0.43,0
2019-03-01,0.42,-0.02325581395
2019-03-02,0.43,0.02380952381
2019-03-03,0.42,-0.02325581395
2019-03-04,0.42,0
2019-03-05,0.4,-0.04761904762
2019-03-06,0.43,0.075
2019-03-07,0.43,0
2019-03-08,0.45,0.04651162791
2019-03-09,0.46,0.02222222222
2019-03-10,0.48,0.04347826087
2019-03-11,0.5,0.04166666667
2019-03-12,0.46,-0.08
2019-03-13,0.49,0.0652173913
2019-03-14,0.48,-0.02040816327
2019-03-15,0.49,0.02083333333
2019-03-16,0.49,0
2019-03-17,0.48,-0.02040816327
2019-03-18,0.48,0
2019-03-19,0.48,0
2019-03-20,0.48,0
2019-03-21,0.48,0
2019-03-22,0.46,-0.04166666667
2019-03-23,0.46,0
2019-03-24,0.46,0
2019-03-25,0.45,-0.02173913043
2019-03-26,0.47,0.04444444444
2019-03-27,0.46,-0.02127659574
2019-03-28,0.49,0.0652173913
2019-03-29,0.5,0.02040816327
2019-03-30,0.5,0
2019-03-31,0.5,0
2019-04-01,0.51,0.02
2019-04-02,0.55,0.07843137255
2019-04-03,0.58,0.05454545455
2019-04-04,0.57,-0.01724137931
2019-04-05,0.54,-0.05263157895
2019-04-06,0.57,0.05555555556
2019-04-07,0.57,0
2019-04-08,0.58,0.01754385965
2019-04-09,0.57,-0.01724137931
2019-04-10,0.53,-0.0701754386
2019-04-11,0.52,-0.01886792453
2019-04-12,0.49,-0.05769230769
2019-04-13,0.49,0
2019-04-14,0.54,0.1020408163
2019-04-15,0.53,-0.01851851852
2019-04-16,0.5,-0.05660377358
2019-04-17,0.5,0
2019-04-18,0.5,0
2019-04-19,0.52,0.04
2019-04-20,0.51,-0.01923076923
2019-04-21,0.51,0
2019-04-22,0.5,-0.01960784314
2019-04-23,0.5,0
2019-04-24,0.48,-0.04
2019-04-25,0.48,0
2019-04-26,0.45,-0.0625
2019-04-27,0.44,-0.02222222222
2019-04-28,0.44,0
2019-04-29,0.45,0.02272727273
2019-04-30,0.43,-0.04444444444
2019-05-01,0.47,0.09302325581
2019-05-02,0.47,0
2019-05-03,0.46,-0.02127659574
2019-05-04,0.51,0.1086956522
2019-05-05,0.5,-0.01960784314
2019-05-06,0.51,0.02
2019-05-07,0.57,0.1176470588
2019-05-08,0.56,-0.01754385965
2019-05-09,0.59,0.05357142857
2019-05-10,0.64,0.08474576271
2019-05-11,0.68,0.0625
2019-05-12,0.69,0.01470588235
2019-05-13,0.66,-0.04347826087
2019-05-14,0.65,-0.01515151515
2019-05-15,0.83,0.2769230769
2019-05-16,0.84,0.01204819277
2019-05-17,0.93,0.1071428571
2019-05-18,0.89,-0.04301075269
2019-05-19,0.94,0.05617977528
2019-05-20,0.99,0.05319148936
2019-05-21,1.12,0.1313131313
2019-05-22,1.19,0.0625
2019-05-23,1.24,0.04201680672
2019-05-24,1.34,0.08064516129
2019-05-25,1.31,-0.0223880597
2019-05-26,1.12,-0.1450381679
2019-05-27,1.08,-0.03571428571
2019-05-28,1.2,0.1111111111
2019-05-29,1.29,0.075
2019-05-30,1.17,-0.09302325581
2019-05-31,1.01,-0.1367521368
2019-06-01,1.02,0.009900990099
2019-06-02,0.96,-0.05882352941
2019-06-03,1.02,0.0625
2019-06-04,0.91,-0.1078431373
2019-06-05,0.88,-0.03296703297
2019-06-06,1.08,0.2272727273
2019-06-07,1.13,0.0462962963
2019-06-08,1.19,0.05309734513
2019-06-09,1.15,-0.03361344538
2019-06-10,1.06,-0.07826086957
2019-06-11,1.19,0.1226415094
2019-06-12,1.13,-0.05042016807
2019-06-13,1.14,0.008849557522
2019-06-14,1.84,0.6140350877
2019-06-15,1.63,-0.1141304348
2019-06-16,1.73,0.06134969325
2019-06-17,1.66,-0.04046242775
2019-06-18,1.96,0.1807228916
2019-06-19,1.82,-0.07142857143
2019-06-20,1.84,0.01098901099
2019-06-21,1.76,-0.04347826087
2019-06-22,1.7,-0.03409090909
2019-06-23,1.84,0.08235294118
2019-06-24,1.83,-0.005434782609
2019-06-25,1.87,0.0218579235
2019-06-26,2.2,0.1764705882
2019-06-27,2.27,0.03181818182
2019-06-28,2.28,0.004405286344
2019-06-29,3.04,0.3333333333
2019-06-30,3.8,0.25
2019-07-01,3.41,-0.1026315789
2019-07-02,3.6,0.05571847507
2019-07-03,3.74,0.03888888889
2019-07-04,3.53,-0.05614973262
2019-07-05,3.49,-0.01133144476
2019-07-06,3.69,0.05730659026
2019-07-07,3.48,-0.05691056911
2019-07-08,3.29,-0.05459770115
2019-07-09,3.34,0.01519756839
2019-07-10,3.08,-0.07784431138
2019-07-11,3.13,0.01623376623
2019-07-12,2.8,-0.1054313099
2019-07-13,3.18,0.1357142857
2019-07-14,3.18,0
2019-07-15,2.79,-0.1226415094
2019-07-16,2.72,-0.02508960573
2019-07-17,2.21,-0.1875
2019-07-18,2.4,0.08597285068
2019-07-19,2.67,0.1125
2019-07-20,2.6,-0.02621722846
2019-07-21,2.64,0.01538461538
2019-07-22,2.54,-0.03787878788
2019-07-23,2.41,-0.05118110236
2019-07-24,2.37,-0.01659751037
2019-07-25,2.41,0.01687763713
2019-07-26,2.38,-0.01244813278
2019-07-27,2.4,0.008403361345
2019-07-28,2.23,-0.07083333333
2019-07-29,2.21,-0.008968609865
2019-07-30,2.13,-0.03619909502
2019-07-31,2.09,-0.01877934272
2019-08-01,2.2,0.05263157895
2019-08-02,2.17,-0.01363636364
2019-08-03,2.42,0.1152073733
2019-08-04,2.42,0
2019-08-05,2.51,0.03719008264
2019-08-06,2.48,-0.01195219124
2019-08-07,2.47,-0.004032258065
2019-08-08,2.38,-0.03643724696
2019-08-09,2.29,-0.03781512605
2019-08-10,2.17,-0.05240174672
2019-08-11,2.34,0.07834101382
2019-08-12,2.4,0.02564102564
2019-08-13,2.38,-0.008333333333
2019-08-14,2.42,0.01680672269
2019-08-15,2.28,-0.05785123967
2019-08-16,2.42,0.06140350877
2019-08-17,2.31,-0.04545454545
2019-08-18,2.41,0.04329004329
2019-08-19,2.5,0.03734439834
2019-08-20,2.5,0
2019-08-21,2.36,-0.056
2019-08-22,2.21,-0.06355932203
2019-08-23,2.23,0.009049773756
2019-08-24,2.23,0
2019-08-25,2.17,-0.0269058296
2019-08-26,2.07,-0.04608294931
2019-08-27,2.07,0
2019-08-28,2.11,0.0193236715
2019-08-29,1.9,-0.09952606635
2019-08-30,1.78,-0.06315789474
2019-08-31,1.8,0.01123595506
