,,BTC
,close,daily_return
time,,
2014-01-13,840.96,-0.03053778316
2014-01-14,838.05,-0.00346033105
2014-01-15,860.44,0.02671678301
2014-01-16,837.98,-0.02610292409
2014-01-17,812.9,-0.02992911525
2014-01-18,840,0.03333743388
2014-01-19,838.17,-0.002178571429
2014-01-20,869.15,0.0369614756
2014-01-21,869.57,0.0004832307427
2014-01-22,865.03,-0.005220971285
2014-01-23,846.97,-0.02087788863
2014-01-24,808.32,-0.04563325738
2014-01-25,804.39,-0.004861935867
2014-01-26,853.51,0.06106490633
2014-01-27,891.86,0.0449321039
2014-01-28,777,-0.1287870294
2014-01-29,816.85,0.05128700129
2014-01-30,817.17,0.0003917487911
2014-01-31,817.93,0.0009300390372
2014-02-01,832.52,0.01783771227
2014-02-02,836.41,0.004672560419
2014-02-03,813.38,-0.0275343432
2014-02-04,832.36,0.0233347267
2014-02-05,830.92,-0.001730020664
2014-02-06,805.08,-0.03109805998
2014-02-07,721.32,-0.1040393501
2014-02-08,701.61,-0.02732490434
2014-02-09,672.07,-0.04210316273
2014-02-10,689.65,0.0261579895
2014-02-11,697.76,0.0117595882
2014-02-12,655.26,-0.06090919514
2014-02-13,651.91,-0.005112474438
2014-02-14,623.57,-0.04347225844
2014-02-15,644.1,0.03292332858
2014-02-16,613.85,-0.04696475703
2014-02-17,645.14,0.05097336483
2014-02-18,625.01,-0.03120252968
2014-02-19,620.99,-0.00643189709
2014-02-20,593.89,-0.0436399942
2014-02-21,582.75,-0.0187576824
2014-02-22,571.06,-0.02006006006
2014-02-23,622.97,0.09090113123
2014-02-24,572.39,-0.08119171068
2014-02-25,489.31,-0.1451457922
2014-02-26,567.25,0.1592855245
2014-02-27,586.28,0.03354781842
2014-02-28,567.2,-0.03254417684
2014-03-01,560.11,-0.0125
2014-03-02,561.35,0.002213850851
2014-03-03,585.79,0.04353789971
2014-03-04,675,0.1522900698
2014-03-05,658.24,-0.02482962963
2014-03-06,654.55,-0.005605858046
2014-03-07,617.62,-0.05642044152
2014-03-08,610.37,-0.0117386095
2014-03-09,636.17,0.04226944312
2014-03-10,621.17,-0.0235786032
2014-03-11,624.23,0.004926187678
2014-03-12,638.07,0.02217131506
2014-03-13,639.03,0.00150453712
2014-03-14,629.67,-0.01464719966
2014-03-15,638.07,0.01334032112
2014-03-16,629.55,-0.01335276694
2014-03-17,623.71,-0.009276467318
2014-03-18,612.62,-0.01778069936
2014-03-19,610.64,-0.003232019849
2014-03-20,592.07,-0.03041071663
2014-03-21,582.3,-0.0165014272
2014-03-22,561.22,-0.03620127082
2014-03-23,567.78,0.01168882078
2014-03-24,571.42,0.006410933812
2014-03-25,582.55,0.01947779217
2014-03-26,584.44,0.003244356708
2014-03-27,567.64,-0.02874546574
2014-03-28,503.66,-0.1127122824
