,,BTC
,close,daily_return
time,,
2014-04-29,443.27,0.014533553
2014-04-30,445,0.003902813
2014-05-01,455.09,0.022674157
2014-05-02,443.47,-0.025533411
2014-05-03,434.03,-0.021286671
2014-05-04,433.94,-0.000207359
2014-05-05,429.08,-0.011199705
2014-05-06,426.76,-0.005406917
2014-05-07,439.3,0.029384197
2014-05-08,437.36,-0.004416117
2014-05-09,447.49,0.023161697
2014-05-10,452.5,0.011195781
2014-05-11,436.28,-0.035845304
2014-05-12,439.19,0.006670028
2014-05-13,437.3,-0.004303377
2014-05-14,444.25,0.01589298
2014-05-15,444.25,0
2014-05-16,445.16,0.002048396
2014-05-17,445.85,0.001550004
2014-05-18,444.21,-0.003678367
2014-05-19,443.87,-0.000765404
2014-05-20,483.42,0.089102665
2014-05-21,488.77,0.011066981
2014-05-22,522.61,0.069235019
2014-05-23,524.48,0.003578194
2014-05-24,523.11,-0.002612111
2014-05-25,569.38,0.08845176
2014-05-26,579.62,0.017984474
2014-05-27,569.48,-0.01749422
2014-05-28,571.55,0.003634895
2014-05-29,565.26,-0.011005161
2014-05-30,621.15,0.098874854
2014-05-31,620.5,-0.001046446
2014-06-01,640.16,0.031684126
2014-06-02,656.41,0.025384279
2014-06-03,667.37,0.016696882
2014-06-04,641.18,-0.039243598
2014-06-05,658.1,0.026388846
2014-06-06,648.63,-0.01438991
2014-06-07,651.71,0.00474847
2014-06-08,649.9,-0.002777309
2014-06-09,643.9,-0.00923219
2014-06-10,649.06,0.008013667
2014-06-11,630.04,-0.029303916
2014-06-12,567.17,-0.099787315
2014-06-13,594.68,0.048503976
2014-06-14,570,-0.041501312
2014-06-15,583.41,0.023526316
2014-06-16,592.52,0.015615091
2014-06-17,607.16,0.024708027
2014-06-18,604.19,-0.004891627
2014-06-19,593.39,-0.017875172
2014-06-20,590.05,-0.005628676
2014-06-21,591.26,0.002050674
2014-06-22,595.04,0.006393127
2014-06-23,586.15,-0.014940172
2014-06-24,582.41,-0.006380619
2014-06-25,561.47,-0.035954053
2014-06-26,579.59,0.032272428
2014-06-27,598.24,0.032177919
2014-06-28,594.87,-0.005633191
2014-06-29,598.49,0.006085363
2014-06-30,637.75,0.065598423
2014-07-01,643.94,0.009705998
2014-07-02,648.11,0.006475759
2014-07-03,640.28,-0.012081282
2014-07-04,627.13,-0.02053789
2014-07-05,627.58,0.000717555
2014-07-06,631,0.005449504
2014-07-07,619.5,-0.01822504
2014-07-08,620.05,0.000887813
2014-07-09,620.16,0.000177405
2014-07-10,615.13,-0.00811081
2014-07-11,630.84,0.025539317
2014-07-12,633.64,0.004438526
2014-07-13,627.46,-0.009753172
2014-07-14,618.21,-0.014741976
2014-07-15,618.95,0.001197004
2014-07-16,614.15,-0.007755069
2014-07-17,622.9,0.014247334
2014-07-18,627.02,0.006614224
2014-07-19,626.18,-0.00133967
2014-07-20,620.51,-0.009054904
2014-07-21,619.91,-0.000966947
2014-07-22,619.01,-0.001451824
2014-07-23,617.94,-0.001728567
2014-07-24,599.81,-0.029339418
2014-07-25,600.1,0.000483486
2014-07-26,593.78,-0.010531578
2014-07-27,590.38,-0.005726026
2014-07-28,585.28,-0.008638504
2014-07-29,581.71,-0.006099645
2014-07-30,560.79,-0.035962937
2014-07-31,583.18,0.039925819
2014-08-01,593.87,0.018330533
2014-08-02,588.23,-0.009497028
2014-08-03,585.57,-0.004522041
2014-08-04,586.37,0.00136619
2014-08-05,582.42,-0.006736361
2014-08-06,583.32,0.001545277
2014-08-07,587.2,0.006651581
2014-08-08,590.91,0.00631812
2014-08-09,588.11,-0.004738454
2014-08-10,588.5,0.000663141
