,,MKR
Date,close,daily_return
10/22/2019,493.16,-0.009161778
10/23/2019,460.32,-0.066590964
10/24/2019,467.13,0.014794056
10/25/2019,515.85,0.104296449
10/26/2019,503.34,-0.024251236
10/27/2019,517.6,0.028330751
10/28/2019,516.85,-0.001448995
10/29/2019,527.15,0.019928412
10/30/2019,526.28,-0.001650384
10/31/2019,543.61,0.032929239
11/1/2019,530.34,-0.024410883
11/2/2019,524.52,-0.010974092
11/3/2019,525.54,0.001944635
11/4/2019,542.62,0.032499905
11/5/2019,555.17,0.023128525
11/6/2019,585.61,0.054830052
11/7/2019,659.82,0.126722563
11/8/2019,661.1,0.001939923
11/9/2019,646.19,-0.02255332
11/10/2019,668.4,0.034370696
11/11/2019,649.76,-0.027887493
11/12/2019,657.08,0.011265698
11/13/2019,654.52,-0.003896025
11/14/2019,647.95,-0.01003789
11/15/2019,605.67,-0.065251948
11/16/2019,626.5,0.034391665
11/17/2019,672.67,0.073695132
11/18/2019,654.03,-0.027710467
11/19/2019,605.81,-0.073727505
11/20/2019,586.16,-0.032435912
11/21/2019,528.96,-0.097584277
11/22/2019,519.71,-0.017487145
11/23/2019,551.96,0.062053838
11/24/2019,480.06,-0.130263063
11/25/2019,528.88,0.101695621
11/26/2019,527.04,-0.00347905
11/27/2019,549.74,0.043070735
11/28/2019,541.32,-0.015316331
11/29/2019,549.65,0.01538831
11/30/2019,544.45,-0.009460566
12/1/2019,512.56,-0.058572872
12/2/2019,564.05,0.100456532
12/3/2019,545.93,-0.032124812
12/4/2019,495.4,-0.092557654
12/5/2019,509.81,0.029087606
12/6/2019,505.82,-0.007826445
12/7/2019,501.17,-0.009192994
12/8/2019,504.44,0.006524732
12/9/2019,499.82,-0.009158671
12/10/2019,506.8,0.013965027
12/11/2019,489.76,-0.033622731
12/12/2019,493.53,0.007697648
12/13/2019,510.73,0.034850972
12/14/2019,508.61,-0.004150921
12/15/2019,493.96,-0.028803995
12/16/2019,461.63,-0.065450644
12/17/2019,415.16,-0.100665035
12/18/2019,467.95,0.127155795
12/19/2019,481.31,0.028550059
12/20/2019,490.35,0.018782074
12/21/2019,490.67,0.000652595
12/22/2019,505.51,0.03024436
12/23/2019,460.93,-0.088188166
12/24/2019,457.34,-0.007788601
12/25/2019,434.84,-0.049197534
12/26/2019,432.48,-0.005427284
12/27/2019,427.56,-0.011376249
12/28/2019,430.74,0.007437553
12/29/2019,448.31,0.040790268
12/30/2019,442.89,-0.012089849
12/31/2019,430.96,-0.026936711
1/1/2020,437.33,0.014780954
1/2/2020,425.44,-0.027187707
1/3/2020,433.53,0.019015607
1/4/2020,440.25,0.015500657
1/5/2020,442.09,0.004179443
1/6/2020,464.47,0.050623176
1/7/2020,469.89,0.011669214
1/8/2020,484.58,0.031262636
1/9/2020,462.12,-0.046349416
1/10/2020,476.68,0.031506968
1/11/2020,479.06,0.004992867
1/12/2020,496.23,0.035841022
1/13/2020,482.22,-0.028232876
1/14/2020,533.87,0.107108789
1/15/2020,533.83,-7.49E-05
1/16/2020,529.68,-0.00777401
1/17/2020,515.97,-0.025883552
1/18/2020,523.14,0.013896157
1/19/2020,507.21,-0.03045074
1/20/2020,483.52,-0.046706492
1/21/2020,484.07,0.001137492
1/22/2020,474.53,-0.019707893
1/23/2020,473.78,-0.001580511
1/24/2020,467.68,-0.012875174
1/25/2020,465.29,-0.005110332
1/26/2020,484.92,0.042188743
1/27/2020,487.37,0.00505238
1/28/2020,531.92,0.091408991
1/29/2020,522.53,-0.017653031
1/30/2020,551.77,0.05595851
1/31/2020,545.33,-0.01167153
2/1/2020,552.01,0.012249464
2/2/2020,558.67,0.012064999
2/3/2020,556.3,-0.004242218
2/4/2020,553.62,-0.004817544
2/5/2020,583.07,0.053195333
2/6/2020,574.18,-0.015246883
2/7/2020,583.16,0.015639695
2/8/2020,578.32,-0.008299609
2/9/2020,591.78,0.023274312
2/10/2020,574.16,-0.029774578
2/11/2020,585.55,0.019837676
2/12/2020,614.31,0.049116216
2/13/2020,625.76,0.018638798
2/14/2020,638.99,0.021142291
2/15/2020,607.28,-0.04962519
2/16/2020,634.71,0.045168621
2/17/2020,614.94,-0.031148083
2/18/2020,637.71,0.037028003
2/19/2020,644.51,0.010663154
2/20/2020,644.87,0.000558564
2/21/2020,636.63,-0.012777769
2/22/2020,642.52,0.009251842
2/23/2020,653.83,0.017602565
2/24/2020,635.57,-0.027927749
2/25/2020,591.94,-0.068647041
2/26/2020,543.49,-0.081849512
2/27/2020,565.6,0.040681521
2/28/2020,580.79,0.026856436
2/29/2020,556.42,-0.041960089
3/1/2020,544.03,-0.022267352
3/2/2020,571.86,0.051155267
3/3/2020,537.46,-0.060154583
3/4/2020,543.13,0.010549622
3/5/2020,546.77,0.006701895
3/6/2020,588.41,0.076156336
3/7/2020,612.81,0.041467684
3/8/2020,516.54,-0.157096
3/9/2020,514.05,-0.004820537
3/10/2020,507.52,-0.012703044
3/11/2020,490.48,-0.033575032
3/12/2020,216.41,-0.558779155
3/13/2020,272.75,0.260339171
3/14/2020,254.25,-0.067827681
3/15/2020,241.69,-0.049400197
3/16/2020,213.98,-0.114650999
3/17/2020,217.04,0.014300402
3/18/2020,206.91,-0.046673424
3/19/2020,262.17,0.26707264
3/20/2020,255.82,-0.024220925
3/21/2020,271.63,0.061801267
3/22/2020,255.66,-0.058793211
3/23/2020,270.3,0.057263553
3/24/2020,278.04,0.02863485
3/25/2020,278.77,0.002625522
3/26/2020,339.43,0.217598737
3/27/2020,312.21,-0.080193265
3/28/2020,308.96,-0.01040966
3/29/2020,290.38,-0.060137235
3/30/2020,295.87,0.018906261
3/31/2020,279.51,-0.055294555
4/1/2020,295.78,0.058209009
4/2/2020,300.45,0.015788762
4/3/2020,301.27,0.002729239
4/4/2020,319.28,0.059780264
4/5/2020,302.55,-0.052399148
4/6/2020,330.73,0.093141629
4/7/2020,325.24,-0.016599643
4/8/2020,345.19,0.061339319
4/9/2020,341.01,-0.012109273
4/10/2020,335.3,-0.016744377
4/11/2020,308.84,-0.078914405
4/12/2020,301.78,-0.022859733
4/13/2020,300.9,-0.002916032
4/14/2020,299.02,-0.006247923
4/15/2020,290.58,-0.028225537
4/16/2020,301.89,0.038922156
4/17/2020,302.45,0.00185498
4/18/2020,326.97,0.081071251
4/19/2020,324.23,-0.008379974
4/20/2020,305.17,-0.05878543
4/21/2020,311.76,0.021594521
4/22/2020,326.73,0.048017706
4/23/2020,327.6,0.002662749
4/24/2020,338.42,0.033028083
4/25/2020,337.43,-0.002925359
4/26/2020,345.88,0.025042231
4/27/2020,340.71,-0.014947381
4/28/2020,342.63,0.005635291
4/29/2020,353.19,0.030820419
4/30/2020,338.79,-0.040771256
5/1/2020,356.3,0.051683934
5/2/2020,359.15,0.007998877
5/3/2020,373.34,0.039509954
5/4/2020,349.28,-0.064445278
5/5/2020,336.7,-0.036016949
5/6/2020,332.05,-0.013810514
5/7/2020,344.5,0.037494353
5/8/2020,339.22,-0.01532656
5/9/2020,341.73,0.007399328
5/10/2020,329.03,-0.037163843
5/11/2020,317.17,-0.036045345
5/12/2020,322.41,0.016521109
5/13/2020,328.61,0.019230173
5/14/2020,331.98,0.010255318
5/15/2020,324.67,-0.022019399
5/16/2020,335.12,0.032186528
5/17/2020,340.58,0.016292671
5/18/2020,327.38,-0.038757414
5/19/2020,332.37,0.015242226
5/20/2020,331.38,-0.002978608
5/21/2020,319.16,-0.036876094
5/22/2020,321.98,0.008835694
5/23/2020,339.66,0.054910243
5/24/2020,326.2,-0.039627863
5/25/2020,345.82,0.060147149
5/26/2020,338.38,-0.021514082
5/27/2020,347.28,0.026301791
5/28/2020,354.98,0.022172311
5/29/2020,486.02,0.369147558
5/30/2020,511.98,0.05341344
5/31/2020,461.11,-0.09935935
6/1/2020,460.38,-0.001583136
6/2/2020,443.39,-0.036904296
6/3/2020,426.66,-0.037732019
6/4/2020,426.76,0.000234379
6/5/2020,478.54,0.121332833
6/6/2020,493.92,0.032139424
6/7/2020,543.57,0.100522352
6/8/2020,554.95,0.020935666
6/9/2020,691.58,0.246202361
6/10/2020,668.95,-0.032722172
6/11/2020,607.82,-0.091382017
6/12/2020,592.75,-0.024793524
6/13/2020,551.96,-0.068814846
6/14/2020,513.81,-0.069117327
6/15/2020,549.07,0.068624589
6/16/2020,541.16,-0.014406178
6/17/2020,539.86,-0.002402247
6/18/2020,527.51,-0.022876301
6/19/2020,514.02,-0.025572975
6/20/2020,520.74,0.013073421
6/21/2020,513.31,-0.014268157
6/22/2020,523.74,0.020319105
6/23/2020,505.14,-0.035513805
6/24/2020,484.58,-0.040701588
6/25/2020,462.36,-0.045854142
6/26/2020,454.79,-0.016372524
6/27/2020,445.98,-0.019371578
6/28/2020,448.59,0.00585228
6/29/2020,454.88,0.014021712
6/30/2020,455.85,0.002132431
7/1/2020,448.56,-0.015992103
7/2/2020,443.9,-0.0103888
7/3/2020,446.48,0.00581212
7/4/2020,485.71,0.087865078
7/5/2020,470.33,-0.031664985
7/6/2020,467.54,-0.005932005
7/7/2020,458.61,-0.01909997
7/8/2020,459.78,0.002551187
7/9/2020,455.27,-0.009809039
7/10/2020,452.19,-0.006765216
7/11/2020,472.57,0.04506955
7/12/2020,460.06,-0.026472269
7/13/2020,450.04,-0.021779768
7/14/2020,463.69,0.030330637
7/15/2020,457.6,-0.013133775
7/16/2020,443.34,-0.031162587
7/17/2020,449.43,0.013736636
7/18/2020,454.02,0.010212936
7/19/2020,465.58,0.025461433
7/20/2020,451.79,-0.02961897
7/21/2020,457.68,0.01303703
7/22/2020,491.16,0.073151547
7/23/2020,529.07,0.077184624
7/24/2020,515.08,-0.026442626
7/25/2020,525.1,0.019453289
7/26/2020,520.87,-0.008055608
7/27/2020,511.3,-0.018373107
7/28/2020,516.13,0.009446509
7/29/2020,545.56,0.057020518
7/30/2020,569.18,0.043294963
7/31/2020,557.34,-0.020801855
8/1/2020,592.02,0.062224136
8/2/2020,567.53,-0.041366846
8/3/2020,592.87,0.044649622
8/4/2020,585.52,-0.012397322
8/5/2020,594.86,0.015951633
8/6/2020,586.13,-0.014675722
8/7/2020,580.72,-0.009230034
8/8/2020,583.65,0.005045461
8/9/2020,598.39,0.025254862
8/10/2020,625.34,0.045037517
8/11/2020,597.23,-0.044951546
8/12/2020,728.76,0.220233411
8/13/2020,797.32,0.094077611
8/14/2020,730.12,-0.084282346
8/15/2020,694.1,-0.049334356
8/16/2020,694.8,0.0010085
8/17/2020,688.67,-0.008822683
8/18/2020,673.35,-0.022245778
8/19/2020,652.4,-0.031113091
8/20/2020,665.88,0.02066217
8/21/2020,605.3,-0.090977353
8/22/2020,639.63,0.056715678
8/23/2020,635.77,-0.006034739
8/24/2020,681.25,0.071535304
8/25/2020,641.2,-0.058788991
8/26/2020,643.07,0.002916407
8/27/2020,615.47,-0.042919122
8/28/2020,633.86,0.029879604
8/29/2020,631.53,-0.003675891
8/30/2020,677.75,0.073187339
8/31/2020,680.4,0.003909996
9/1/2020,718.89,0.056569665
9/2/2020,659.49,-0.082627384
9/3/2020,575.15,-0.1278867
9/4/2020,588.69,0.023541685
9/5/2020,512.09,-0.130119418
9/6/2020,547.19,0.068542639
9/7/2020,528.41,-0.034320803
9/8/2020,508.86,-0.036997786
9/9/2020,523.83,0.029418701
9/10/2020,532.48,0.016512991
9/11/2020,523.73,-0.016432542
9/12/2020,514.99,-0.016687988
9/13/2020,499.24,-0.030583118
9/14/2020,485.01,-0.028503325
9/15/2020,456.04,-0.059730727
9/16/2020,476.22,0.044250504
9/17/2020,503.84,0.057998404
9/18/2020,499.94,-0.007740553
9/19/2020,515.06,0.030243629
9/20/2020,475.5,-0.076806586
9/21/2020,455.23,-0.042628812
9/22/2020,461.1,0.012894581
9/23/2020,427.03,-0.073888527
9/24/2020,471.29,0.103646114
9/25/2020,487.78,0.034989073
9/26/2020,507,0.03940301
9/27/2020,487.73,-0.03800789
9/28/2020,516.38,0.058741517
9/29/2020,526.71,0.020004648
9/30/2020,569.27,0.080803478
10/1/2020,574.57,0.009310169
10/2/2020,553.8,-0.036148772
10/3/2020,557.53,0.006735283
10/4/2020,570.92,0.024016645
10/5/2020,558.21,-0.022262313
10/6/2020,511.77,-0.083194497
10/7/2020,516.04,0.008343592
10/8/2020,523.33,0.014126812
10/9/2020,552.08,0.054936656
10/10/2020,570.78,0.033871903
10/11/2020,576.67,0.010319212
10/12/2020,561.9,-0.025612569
10/13/2020,553.05,-0.015750133
10/14/2020,556.94,0.007033722
10/15/2020,552.16,-0.008582612
10/16/2020,540.96,-0.020283976
10/17/2020,552,0.020408163
10/18/2020,568.4,0.029710145
10/19/2020,566.78,-0.002850106
10/20/2020,545.19,-0.038092382
10/21/2020,563.49,0.03356628
10/22/2020,586.81,0.04138494
10/23/2020,587.55,0.001261056
10/24/2020,594.3,0.011488384
10/25/2020,579.51,-0.024886421
10/26/2020,568.65,-0.01873997
10/27/2020,587.21,0.032638706
10/28/2020,545.89,-0.070366649
10/29/2020,531.49,-0.026378941
10/30/2020,520.53,-0.020621272
10/31/2020,523.31,0.00534071
11/1/2020,543.07,0.037759645
11/2/2020,520.4,-0.041744158
