Date,Open*,High,Low,Close**,Volume,Market Cap
9/6/2021,3720.01,3722.89,3562.47,3622.33,170720494,3590915635
9/5/2021,3549.8,3721.02,3528.11,3720.98,150344826,3688714388
9/4/2021,3649.27,3721.45,3546.22,3550.29,142855363,3519500000
9/3/2021,3552.01,3750.52,3482.62,3646.68,186040132,3615061800
9/2/2021,3695.06,3699.09,3550.66,3553.3,137791540,3522487757
9/1/2021,3523.78,3700.82,3430.09,3694.88,180538009,3662837032
8/31/2021,3359.75,3566.59,3320.62,3525.93,189265194,3495358806
8/30/2021,3457.98,3509.04,3320.43,3355,157327219,3325911535
8/29/2021,3608.56,3680.08,3395.84,3456.22,165393604,3426245908
8/28/2021,3752.02,3780.38,3589.42,3608.77,124937113,3577478395
8/27/2021,3587.06,3789.76,3546.16,3746.96,133931335,3714472185
8/26/2021,3701.81,3742.15,3460.09,3591.64,146425413,3560493127
8/25/2021,3630.82,3749.5,3501.31,3695.25,133764312,3663207626
8/24/2021,3879.08,3906.63,3603.39,3633,143525374,3601494145
8/23/2021,3809.77,4006.17,3801.99,3876.78,140101308,3843158396
8/22/2021,3872.92,3887.93,3706.93,3813.73,126954395,3780657969
8/21/2021,3817.28,3979.69,3717.65,3870.4,183580427,3836839350
8/20/2021,3745.07,3850.75,3705.01,3813.08,145465521,3780016317
8/19/2021,3521.19,3743.64,3451.02,3740.34,150588867,3707903578
8/18/2021,3450.23,3637.01,3389.13,3524.51,156882135,3493945738
8/17/2021,3582.02,3777.32,3438.88,3453.95,163385512,3424003407
8/16/2021,3804.74,3884.23,3571.1,3587.99,174879656,3556878526
8/15/2021,3872.1,3884.09,3626.99,3805.48,190930645,3772484502
8/14/2021,3709.01,3910.84,3564.07,3868.42,233364345,3834873939
8/13/2021,3252.3,3708.35,3240.24,3708.35,207787464,3676193666
8/12/2021,3371.84,3425.24,3170.11,3247.58,179884689,3219418509
8/11/2021,3394.38,3526.13,3343.83,3370.39,191189491,3341160753
8/10/2021,3365.83,3462.61,3268.76,3396.09,209281217,3366642876
8/9/2021,3234.3,3378.68,3091.02,3366.4,162710286,3337204743
8/8/2021,3410.64,3442.71,3155.71,3232.09,156222578,3204066928
8/7/2021,3252.42,3474.33,3230.6,3400.42,202263652,3370934679
8/6/2021,3287.15,3370.3,3116.13,3250.06,209152836,3221879541
8/5/2021,2970.14,3288.03,2800.6,3278.27,232713367,3249845087
8/4/2021,2787.62,2993.59,2750.25,2970.52,142286143,2944764358
8/3/2021,2921.7,2947.57,2741.7,2779.85,108398279,2755743594
8/2/2021,2895.66,3030.12,2846.79,2922.26,116525614,2896921750
8/1/2021,2980.63,3089.56,2904.29,2921.9,114257156,2896563093
7/31/2021,2913.1,3012.02,2861.91,2987.26,106436361,2961350838
